,outcodes
0,LS2
1,LS3
2,LS4
3,LS5
4,LS13
5,LS6
6,LS21
7,LS19
8,LS7
9,LS8
10,LS9
11,LS28
12,LS10
13,LS12
14,LS11
15,LS23
16,LS25
17,LS18
18,LS27
19,WF3
20,LS14
21,LS15
22,LS22
23,LS26
24,LS16
25,LS17
26,LS20
27,LS24
28,LS29
29,BD1
30,BD2
31,BD18
32,BD10
33,BD3
34,BD4
35,BD5
36,BD6
37,BD13
38,BD20
39,BD7
40,BD8
41,BD9
42,BD11
43,BD12
44,BD14
45,HD4
46,BD15
47,BD16
48,BD17
49,BD19
50,BD21
51,BD22
52,BD23
53,BD24
54,WF2
55,WF1
56,WF10
57,WF6
58,WF7
59,WF8
60,WF4
61,WF5
62,WF9
63,WF11
64,WF12
65,WF17
66,WF13
67,WF14
68,WF15
69,WF16
70,HX1
71,HX2
72,HX3
73,HX4
74,HX5
75,HX6
76,HX7
77,HD1
78,HD2
79,HD3
80,HD5
81,HD6
82,HD7
83,HD8
84,HD9
